gene,essential_type
SCAF1,Late
SCAF4,Late
SCO2,Late
SDHC,Late
SEC61B,Late
SEC63,Late
SENP6,Late
SEPSECS,Late
SETD2,Late
SF3B1,Late
SHC1,Late
SKP2,Late
SLC1A5,Late
SLC25A26,Late
SLC25A3,Late
SLC2A1,Late
SLC35A2,Late
SLC38A2,Late
SLC45A4,Late
SLIRP,Late
SMC5,Late
SMC6,Late
SMG6,Late
SMG8,Late
SMS,Late
SNAP23,Late
SNAPC5,Late
SNRNP40,Late
SNRPC,Late
SNTB1,Late
SPAG9,Late
SPATA5,Late
SPTLC2,Late
SPTSSA,Late
SQLE,Late
SRC,Late
SRCAP,Late
SREBF1,Late
SREK1,Late
SRPRB,Late
SRRD,Late
SRSF6,Late
SSB,Late
SSBP1,Late
SSR2,Late
SSR3,Late
SSR4,Late
STAG1,Late
STARD10,Late
STRAP,Late
STT3A,Late
SUPT4H1,Late
SUPV3L1,Late
SURF6,Late
SUZ12,Late
SYNCRIP,Late
TAF1A,Late
TAF1B,Late
TAF8,Late
TAMM41,Late
TARS2,Late
TAZ,Late
TBC1D10B,Late
TBC1D22B,Late
TBC1D29,Late
TCEB2,Late
TEFM,Late
TEN1,Late
TEX10,Late
TFAM,Late
TFB1M,Late
TFB2M,Late
TGFBRAP1,Late
TGIF1,Late
THAP7,Late
THOC1,Late
THRAP3,Late
TIMM22,Late
TKT,Late
TLCD1,Late
TLK2,Late
TMA16,Late
TMED10,Late
TMEM131,Late
TMEM164,Late
TMEM189,Late
TMEM258,Late
TNNT1,Late
TNRC18,Late
TOMM20,Late
TOX4,Late
TP53,Late
TP53RK,Late
TPRKB,Late
TRAPPC4,Late
TRMT10C,Late
TRMT6,Late
TRNAU1AP,Late
TRUB2,Late
TSC22D2,Late
TSEN2,Late
TSEN54,Late
TUBE1,Late
TXN,Late
TYMS,Late
UAP1,Late
UBA2,Late
UBA3,Late
UBA5,Late
UBA6,Late
UBE2A,Late
UBE2G2,Late
UBE2H,Late
UBE2J2,Late
UBE2S,Late
UBE2Z,Late
UBE3D,Late
UFC1,Late
UFL1,Late
UFSP2,Late
UNC45A,Late
UPK3BL,Late
UQCRH,Late
URB2,Late
URI1,Late
UROD,Late
USP32,Late
USP37,Late
USP7,Late
UXS1,Late
VARS2,Late
VASP,Late
VBP1,Late
VCL,Late
VEZT,Late
VHL,Late
VPS26A,Late
VPS39,Late
VPS8,Late
VTI1A,Late
WARS2,Late
WASF2,Late
WBP1,Late
WBP4,Late
WBSCR16,Late
WDR25,Late
WDR26,Late
WDR59,Late
WDR61,Late
WDR83,Late
WDR92,Late
WNK1,Late
WRAP53,Late
WRB,Late
XPO5,Late
XRCC2,Late
XRCC3,Late
XRN1,Late
YAE1D1,Late
YBEY,Late
YEATS4,Late
YPEL5,Late
YWHAZ,Late
YY1,Late
ZBTB17,Late
ZBTB2,Late
ZC3H10,Late
ZCCHC7,Late
ZFP36L1,Late
ZFP91,Late
ZFYVE20,Late
ZMAT5,Late
ZMYND11,Late
ZMYND8,Late
ZNF148,Late
ZNF236,Late
ZNF335,Late
ZNF572,Late
ZNF574,Late
ZNHIT1,Late
ZNRD1,Late
ZSWIM8,Late
ZWINT,Late
ZZZ3,Late
ATG7,Late
C10orf2,Late
CDIPT,Late
CTU1,Late
EEFSEC,Late
ENO1,Late
FARS2,Late
FDXR,Late
G6PD,Late
GRHL2,Late
LARS2,Late
LSM10,Late
MARS2,Late
MOCS3,Late
MRPL34,Late
MRPL38,Late
MRPL4,Late
MRPL47,Late
MRPL53,Late
MRPS16,Late
MRPS18A,Late
MRPS18B,Late
MSTO1,Late
NDOR1,Late
NELFCD,Late
PARS2,Late
PCYT2,Late
PET112,Late
PGK1,Late
PMVK,Late
POLRMT,Late
PTPMT1,Late
RABIF,Late
SARS2,Late
TOE1,Late
TRMT61A,Late
TUFM,Late
URM1,Late
VRK1,Late
